
არსებითი სახელი,არსებითი სახელი,არსებითი სახელი
Noun,არსებითი სახელი,N
Proper,საკუთარი,Prop
Name,სახელი/გვარი,Name
Geographical,გეოგრაფიული სახელი,Geog
Common,საზოგადო,Com
Singular,მხოლობითი რიცხვი,Sg
Plural,მრავლობითი რიცხვი ,Pl
Nominative,სახელობითი ბრუნვა,Nom
Ergative,მოთხრობითი ბრუნვა,Erg
Dative,მიცემითი ბრუნვა,Dat
Genetive,ნათესაობითი ბრუნვა,Gen
Instrumental,მოქმედებითი ბრუნვა,Ins
Adverbial,ვითარებითი ბრუნვა,Advb
Vocative,წოდებითი ბრუნვა,Voc
Emphasis,ემფატიკური ხმოვანი,Emph
Postposition,თანდებული,Post
Particle,ნაწილაკი,Ptcl
Auxiliary,"დამხმარე ზმნა, 3 პირი",Aux
ზედსართავი სახელი,ზედსართავი სახელი,ზედსართავი სახელი
Adjective,ზედსართავი სახელი,A
Positive Degree,დადებითი ხარისხი,Pos
Comparative Degree,ოდნაობითი ხარისხი,Com
Superlative Degree,უფროობითი ხარისხი,Sup
Singular,მხოლობითი რიცხვი,Sg
Plural,მრავლობითი რიცხვი ,Pl
Nominative,სახელობითი ბრუნვა,Nom
Ergative,მოთხრობითი ბრუნვა,Erg
Dative,მიცემითი ბრუნვა,Dat
Genertive,ნათესაობითი ბრუნვა,Gen
Instrumental,მოქმედებითი ბრუნვა,Ins
Ablative,ვითარებითი ბრუნვა,Abl
Vocative,წოდებითი ბრუნვა,Voc
Emphasis,ემფატიკური ხმოვანი,Emph
Postposition,თანდებული,Post
Particle,ნაწილაკი,Ptcl
Auxiliary,"დამხმარე ზმნა, 3 პირი",Aux
რიცხვითი სახელი,რიცხვითი სახელი,რიცხვითი სახელი
Numeral,რიცხვითი სახელი,Num
Cardinal,რაოდენობითი ,Card
Ordinal,რიგობითი ,Ord
,ანბანური ფორმა,Alpha
Digits,რიცხვითი ფორმა,Dig
Letter,ანბანურად,Letter
Roman,რომაული რიცხვი,Rom
Fractal,წილობითი ,Fn
Singular,მხოლობითი რიცხვი,Sg
Plural,მრავლობითი რიცხვი ,Pl
Nominative,სახელობითი ბრუნვა,Nom
Ergative,მოთხრობითი ბრუნვა,Erg
Dative,მიცემითი ბრუნვა,Dat
Genertive,ნათესაობითი ბრუნვა,Gen
Instrumental,მოქმედებითი ბრუნვა,Ins
Adverbial,ვითარებითი ბრუნვა,Advb
Emphasis,ემფატიკური ხმოვანი,Emph
Postposition,თანდებული,Post
Particle,ნაწილაკი,Ptcl
Auxiliary,"დამხმარე ზმნა, 3 პირი",Aux
